method,scene,rep,rule,theory_regime,nominal_invalid_control,FDP,power,size,false_count,rmse
lasso_pair_q20,global_null,0,top12,True,False,1.0,,12,12,0.9889254244542778
lasso_pair_q20,global_null,0,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
lasso_pair_q20,global_null,0,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,0,top12,True,False,1.0,,12,12,1.0000827224514388
linear_orbit_student,global_null,0,top8,True,False,1.0,,8,8,
linear_orbit_student,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
linear_orbit_student,global_null,0,native10,True,False,0.0,,0,0,
xgb_shap,global_null,0,top12,True,False,1.0,,12,12,1.0041634770714858
xgb_shap,global_null,0,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,0,top12,True,False,1.0,,12,12,0.9921973350480472
xgb_pfi,global_null,0,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,0,top12,True,False,1.0,,12,12,1.006670842619845
tabm_pfi,global_null,0,top8,True,False,1.0,,8,8,
deep_lasso,global_null,0,top12,True,False,1.0,,12,12,1.0054739184902748
deep_lasso,global_null,0,top8,True,False,1.0,,8,8,
xgb_naive,global_null,0,top12,True,True,1.0,,12,12,1.0065440511671007
xgb_naive,global_null,0,top8,True,True,1.0,,8,8,
xgb_naive,global_null,0,native,True,True,0.0,,0,0,0.9828494582417369
xgb_naive,global_null,0,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,0,top12,True,False,1.0,,12,12,1.006262493947544
xgb_midpoint,global_null,0,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
xgb_midpoint,global_null,0,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,0,top12,True,False,1.0,,12,12,1.0045122986828587
xgb_orbit,global_null,0,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
xgb_orbit,global_null,0,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,0,top12,True,False,1.0,,12,12,1.0045122986828587
xgb_orbit_student,global_null,0,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
xgb_orbit_student,global_null,0,native10,True,False,0.0,,0,0,
tabm_naive,global_null,0,top12,True,True,1.0,,12,12,1.0039485549604203
tabm_naive,global_null,0,top8,True,True,1.0,,8,8,
tabm_naive,global_null,0,native,True,True,0.0,,0,0,0.9828494582417369
tabm_naive,global_null,0,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,0,top12,True,False,1.0,,12,12,1.0056124973836842
tabm_midpoint,global_null,0,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
tabm_midpoint,global_null,0,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,0,top12,True,False,1.0,,12,12,1.0054335638953171
tabm_orbit,global_null,0,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
tabm_orbit,global_null,0,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,0,top12,True,False,1.0,,12,12,1.0054335638953171
tabm_orbit_student,global_null,0,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,0,native,True,False,0.0,,0,0,0.9828494582417369
tabm_orbit_student,global_null,0,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,1,top12,True,False,1.0,,12,12,0.9745591686729748
lasso_pair_q20,global_null,1,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
lasso_pair_q20,global_null,1,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,1,top12,True,False,1.0,,12,12,0.9669456837485694
linear_orbit_student,global_null,1,top8,True,False,1.0,,8,8,
linear_orbit_student,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
linear_orbit_student,global_null,1,native10,True,False,0.0,,0,0,
xgb_shap,global_null,1,top12,True,False,1.0,,12,12,0.9766756577169647
xgb_shap,global_null,1,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,1,top12,True,False,1.0,,12,12,0.9902930596090879
xgb_pfi,global_null,1,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,1,top12,True,False,1.0,,12,12,0.9771307645337886
tabm_pfi,global_null,1,top8,True,False,1.0,,8,8,
deep_lasso,global_null,1,top12,True,False,1.0,,12,12,0.9821505880646139
deep_lasso,global_null,1,top8,True,False,1.0,,8,8,
xgb_naive,global_null,1,top12,True,True,1.0,,12,12,0.9808628663451725
xgb_naive,global_null,1,top8,True,True,1.0,,8,8,
xgb_naive,global_null,1,native,True,True,0.0,,0,0,0.9650911862321502
xgb_naive,global_null,1,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,1,top12,True,False,1.0,,12,12,0.9841817802713944
xgb_midpoint,global_null,1,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
xgb_midpoint,global_null,1,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,1,top12,True,False,1.0,,12,12,0.9863256011002275
xgb_orbit,global_null,1,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
xgb_orbit,global_null,1,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,1,top12,True,False,1.0,,12,12,0.9863256011002275
xgb_orbit_student,global_null,1,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
xgb_orbit_student,global_null,1,native10,True,False,0.0,,0,0,
tabm_naive,global_null,1,top12,True,True,1.0,,12,12,0.9724626228806182
tabm_naive,global_null,1,top8,True,True,1.0,,8,8,
tabm_naive,global_null,1,native,True,True,0.0,,0,0,0.9650911862321502
tabm_naive,global_null,1,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,1,top12,True,False,1.0,,12,12,0.9718551477089358
tabm_midpoint,global_null,1,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
tabm_midpoint,global_null,1,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,1,top12,True,False,1.0,,12,12,0.9767384630627542
tabm_orbit,global_null,1,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
tabm_orbit,global_null,1,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,1,top12,True,False,1.0,,12,12,0.973015653371429
tabm_orbit_student,global_null,1,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,1,native,True,False,0.0,,0,0,0.9650911862321502
tabm_orbit_student,global_null,1,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,2,top12,True,False,1.0,,12,12,0.994683970422984
lasso_pair_q20,global_null,2,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,2,native,True,False,0.0,,0,0,0.9744416996189028
lasso_pair_q20,global_null,2,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,2,top12,True,False,1.0,,12,12,0.9853738347139459
